,Date,Season,home,visitor,FT,hgoal,vgoal
15902,2011-11-27,2011,Eintracht Braunschweig,VfL Bochum,4-0,4,0
15903,2011-11-28,2011,Fortuna Dusseldorf,SpVgg Greuther Furth,2-1,2,1
15904,2011-12-02,2011,1. FC Union Berlin,Energie Cottbus,1-0,1,0
15905,2011-12-02,2011,SC Paderborn 07,FC St. Pauli,1-1,1,1
15906,2011-12-02,2011,FC Ingolstadt 04,Eintracht Braunschweig,0-1,0,1
15907,2011-12-03,2011,Eintracht Frankfurt,Karlsruher SC,2-0,2,0
15908,2011-12-03,2011,SpVgg Greuther Furth,Hansa Rostock,3-0,3,0
15909,2011-12-04,2011,VfL Bochum,Erzgebirge Aue,6-0,6,0
15910,2011-12-04,2011,Alemannia Aachen,1860 Munchen,2-2,2,2
15911,2011-12-04,2011,Dynamo Dresden,FSV Frankfurt,2-2,2,2
15912,2011-12-05,2011,MSV Duisburg,Fortuna Dusseldorf,0-2,0,2
15913,2011-12-09,2011,MSV Duisburg,Karlsruher SC,3-1,3,1
15914,2011-12-09,2011,1860 Munchen,Eintracht Braunschweig,3-0,3,0
15915,2011-12-09,2011,SC Paderborn 07,Hansa Rostock,2-0,2,0
15916,2011-12-10,2011,VfL Bochum,Fortuna Dusseldorf,1-1,1,1
15917,2011-12-10,2011,1. FC Union Berlin,FSV Frankfurt,4-0,4,0
15918,2011-12-11,2011,Alemannia Aachen,Erzgebirge Aue,1-1,1,1
15919,2011-12-11,2011,FC Ingolstadt 04,FC St. Pauli,1-0,1,0
15920,2011-12-11,2011,Dynamo Dresden,Energie Cottbus,2-1,2,1
15921,2011-12-12,2011,Eintracht Frankfurt,SpVgg Greuther Furth,0-0,0,0
15922,2011-12-16,2011,SpVgg Greuther Furth,1. FC Union Berlin,5-0,5,0
15923,2011-12-16,2011,Fortuna Dusseldorf,SC Paderborn 07,2-3,2,3
15924,2011-12-16,2011,Erzgebirge Aue,FC Ingolstadt 04,1-1,1,1
15925,2011-12-17,2011,FSV Frankfurt,VfL Bochum,0-2,0,2
15926,2011-12-17,2011,Karlsruher SC,1860 Munchen,1-3,1,3
15927,2011-12-18,2011,Energie Cottbus,MSV Duisburg,1-1,1,1
15928,2011-12-18,2011,Eintracht Braunschweig,Alemannia Aachen,1-1,1,1
15929,2011-12-18,2011,Hansa Rostock,Dynamo Dresden,2-2,2,2
15930,2011-12-19,2011,FC St. Pauli,Eintracht Frankfurt,2-0,2,0
15931,2012-02-03,2011,Dynamo Dresden,SpVgg Greuther Furth,3-1,3,1
15932,2012-02-03,2011,SC Paderborn 07,1. FC Union Berlin,3-2,3,2
15933,2012-02-03,2011,MSV Duisburg,FSV Frankfurt,1-2,1,2
15934,2012-02-04,2011,Alemannia Aachen,FC St. Pauli,2-1,2,1
15935,2012-02-04,2011,FC Ingolstadt 04,Fortuna Dusseldorf,1-1,1,1
15936,2012-02-05,2011,Karlsruher SC,Erzgebirge Aue,2-1,2,1
15937,2012-02-05,2011,Eintracht Frankfurt,Eintracht Braunschweig,2-1,2,1
15938,2012-02-05,2011,VfL Bochum,Hansa Rostock,2-1,2,1
15939,2012-02-06,2011,1860 Munchen,Energie Cottbus,2-0,2,0
15940,2012-02-10,2011,Energie Cottbus,Alemannia Aachen,1-1,1,1
15941,2012-02-10,2011,FSV Frankfurt,FC Ingolstadt 04,1-1,1,1
15942,2012-02-11,2011,Eintracht Braunschweig,Karlsruher SC,0-0,0,0
15943,2012-02-11,2011,1. FC Union Berlin,Dynamo Dresden,4-0,4,0
15944,2012-02-12,2011,FC St. Pauli,VfL Bochum,2-1,2,1
15945,2012-02-12,2011,Hansa Rostock,MSV Duisburg,4-2,4,2
15946,2012-02-12,2011,SpVgg Greuther Furth,SC Paderborn 07,5-1,5,1
15947,2012-02-13,2011,Fortuna Dusseldorf,Eintracht Frankfurt,1-1,1,1
15948,2012-02-17,2011,MSV Duisburg,FC St. Pauli,0-1,0,1
15949,2012-02-17,2011,Karlsruher SC,Energie Cottbus,2-0,2,0
15950,2012-02-17,2011,SC Paderborn 07,Dynamo Dresden,2-2,2,2
15951,2012-02-18,2011,VfL Bochum,1. FC Union Berlin,4-2,4,2
15952,2012-02-18,2011,Eintracht Frankfurt,FSV Frankfurt,6-1,6,1
15953,2012-02-19,2011,FC Ingolstadt 04,SpVgg Greuther Furth,0-0,0,0
15954,2012-02-19,2011,1860 Munchen,Fortuna Dusseldorf,2-1,2,1
15955,2012-02-19,2011,Alemannia Aachen,Hansa Rostock,0-0,0,0
15956,2012-02-20,2011,Erzgebirge Aue,Eintracht Braunschweig,1-1,1,1
15957,2012-02-24,2011,Dynamo Dresden,MSV Duisburg,2-0,2,0
15958,2012-02-24,2011,1. FC Union Berlin,1860 Munchen,0-1,0,1
15959,2012-02-24,2011,Hansa Rostock,FC Ingolstadt 04,1-2,1,2
15960,2012-02-25,2011,SpVgg Greuther Furth,VfL Bochum,6-2,6,2
15961,2012-02-25,2011,Energie Cottbus,Erzgebirge Aue,2-0,2,0
15962,2012-02-26,2011,SC Paderborn 07,Eintracht Frankfurt,4-2,4,2
15963,2012-02-26,2011,FSV Frankfurt,Karlsruher SC,2-1,2,1
15964,2012-02-26,2011,FC St. Pauli,Eintracht Braunschweig,0-0,0,0
15965,2012-02-27,2011,Fortuna Dusseldorf,Alemannia Aachen,0-0,0,0
15966,2012-03-02,2011,MSV Duisburg,SpVgg Greuther Furth,0-2,0,2
15967,2012-03-02,2011,FC Ingolstadt 04,1. FC Union Berlin,3-3,3,3
15968,2012-03-02,2011,VfL Bochum,Dynamo Dresden,0-2,0,2
15969,2012-03-03,2011,Karlsruher SC,Fortuna Dusseldorf,0-5,0,5
15970,2012-03-03,2011,Alemannia Aachen,SC Paderborn 07,0-3,0,3
15971,2012-03-04,2011,Eintracht Frankfurt,Energie Cottbus,1-0,1,0
15972,2012-03-04,2011,Erzgebirge Aue,FSV Frankfurt,4-3,4,3
15973,2012-03-04,2011,Eintracht Braunschweig,Hansa Rostock,3-2,3,2
15974,2012-03-05,2011,1860 Munchen,FC St. Pauli,1-1,1,1
15975,2012-03-09,2011,SC Paderborn 07,VfL Bochum,0-0,0,0
15976,2012-03-09,2011,1. FC Union Berlin,MSV Duisburg,1-1,1,1
15977,2012-03-09,2011,SpVgg Greuther Furth,Alemannia Aachen,1-0,1,0
15978,2012-03-10,2011,Fortuna Dusseldorf,Erzgebirge Aue,3-1,3,1
15979,2012-03-10,2011,FSV Frankfurt,1860 Munchen,3-1,3,1
15980,2012-03-11,2011,Hansa Rostock,Eintracht Frankfurt,1-5,1,5
15981,2012-03-11,2011,Dynamo Dresden,FC Ingolstadt 04,0-0,0,0
15982,2012-03-11,2011,Energie Cottbus,Eintracht Braunschweig,1-1,1,1
15983,2012-03-12,2011,FC St. Pauli,Karlsruher SC,1-0,1,0
15984,2012-03-14,2011,Erzgebirge Aue,1860 Munchen,0-0,0,0
15985,2012-03-16,2011,Alemannia Aachen,1. FC Union Berlin,1-3,1,3
15986,2012-03-16,2011,Eintracht Braunschweig,FSV Frankfurt,0-0,0,0
15987,2012-03-16,2011,Eintracht Frankfurt,Dynamo Dresden,3-0,3,0
15988,2012-03-17,2011,1860 Munchen,SpVgg Greuther Furth,1-4,1,4
15989,2012-03-17,2011,FC Ingolstadt 04,SC Paderborn 07,4-0,4,0
15990,2012-03-18,2011,Erzgebirge Aue,FC St. Pauli,2-1,2,1
15991,2012-03-18,2011,MSV Duisburg,VfL Bochum,2-1,2,1
15992,2012-03-18,2011,Karlsruher SC,Hansa Rostock,2-2,2,2
15993,2012-03-19,2011,Energie Cottbus,Fortuna Dusseldorf,1-1,1,1
15994,2012-03-23,2011,Dynamo Dresden,1860 Munchen,0-1,0,1
15995,2012-03-23,2011,FSV Frankfurt,Alemannia Aachen,2-1,2,1
15996,2012-03-23,2011,VfL Bochum,FC Ingolstadt 04,0-1,0,1
15997,2012-03-24,2011,SpVgg Greuther Furth,Karlsruher SC,3-0,3,0
15998,2012-03-24,2011,Fortuna Dusseldorf,Eintracht Braunschweig,1-1,1,1
15999,2012-03-25,2011,Hansa Rostock,Erzgebirge Aue,0-1,0,1
16000,2012-03-25,2011,FC St. Pauli,Energie Cottbus,0-0,0,0
16001,2012-03-25,2011,SC Paderborn 07,MSV Duisburg,1-2,1,2
16002,2012-03-26,2011,1. FC Union Berlin,Eintracht Frankfurt,0-4,0,4
16003,2012-03-30,2011,Eintracht Frankfurt,VfL Bochum,3-0,3,0
16004,2012-03-30,2011,Eintracht Braunschweig,SC Paderborn 07,0-0,0,0
16005,2012-03-30,2011,Alemannia Aachen,Dynamo Dresden,0-1,0,1
16006,2012-03-31,2011,Erzgebirge Aue,SpVgg Greuther Furth,1-1,1,1
16007,2012-03-31,2011,1860 Munchen,Hansa Rostock,0-1,0,1
16008,2012-04-01,2011,FC Ingolstadt 04,MSV Duisburg,1-1,1,1
16009,2012-04-01,2011,Karlsruher SC,1. FC Union Berlin,2-0,2,0
16010,2012-04-01,2011,Energie Cottbus,FSV Frankfurt,1-1,1,1
16011,2012-04-02,2011,Fortuna Dusseldorf,FC St. Pauli,0-0,0,0
16012,2012-04-05,2011,1. FC Union Berlin,Erzgebirge Aue,1-0,1,0
16013,2012-04-05,2011,SpVgg Greuther Furth,Energie Cottbus,3-0,3,0
16014,2012-04-05,2011,Hansa Rostock,Fortuna Dusseldorf,2-1,2,1
16015,2012-04-07,2011,FSV Frankfurt,FC St. Pauli,3-3,3,3
16016,2012-04-07,2011,Dynamo Dresden,Eintracht Braunschweig,2-2,2,2
16017,2012-04-07,2011,MSV Duisburg,Eintracht Frankfurt,2-0,2,0
