,Date,Season,home,visitor,FT,hgoal,vgoal
13446,2010-10-24,2010,VfB Stuttgart,FC St. Pauli,2-0,2,0
13447,2010-10-29,2010,Bayern Munchen,SC Freiburg,4-2,4,2
13448,2010-10-30,2010,Werder Bremen,1. FC Nurnberg,2-3,2,3
13449,2010-10-30,2010,VfL Wolfsburg,VfB Stuttgart,2-0,2,0
13450,2010-10-30,2010,1. FC Koln,Hamburger SV,3-2,3,2
13451,2010-10-30,2010,1. FC Kaiserslautern,Bor. Monchengladbach,3-0,3,0
13452,2010-10-30,2010,FC St. Pauli,Eintracht Frankfurt,1-3,1,3
13453,2010-10-30,2010,FC Schalke 04,Bayer Leverkusen,0-1,0,1
13454,2010-10-31,2010,1. FSV Mainz 05,Borussia Dortmund,0-2,0,2
13455,2010-10-31,2010,1899 Hoffenheim,Hannover 96,4-0,4,0
13456,2010-11-05,2010,FC Schalke 04,FC St. Pauli,3-0,3,0
13457,2010-11-06,2010,Hamburger SV,1899 Hoffenheim,2-1,2,1
