,Date,home,visitor,hgoal,vgoal,goaldiff,result
2545,10/03/2019,Seattle Sounders,Colorado Rapids,2,0,2,1
2546,10/03/2019,New York City,DC United,0,0,0,0
2547,10/03/2019,Sporting Kansas City,Philadelphia Union,2,0,2,1
2548,10/03/2019,Atlanta United,Cincinnati,1,1,0,0
2549,10/03/2019,Los Angeles FC,Portland Timbers,4,1,3,1
2550,16/03/2019,Chicago Fire,Seattle Sounders,2,4,-2,-1
2551,16/03/2019,Columbus Crew,FC Dallas,1,0,1,1
2552,16/03/2019,Houston Dynamo,Vancouver Whitecaps,3,2,1,1
2553,16/03/2019,New York Red Bulls,San Jose Earthquakes,4,1,3,1
2554,16/03/2019,Orlando City,Montreal Impact,1,3,-2,-1
2555,17/03/2019,DC United,Real Salt Lake,5,0,5,1
2556,17/03/2019,Los Angeles Galaxy,Minnesota United,3,2,1,1
2557,17/03/2019,New York City,Los Angeles FC,2,2,0,0
2558,17/03/2019,Cincinnati,Portland Timbers,3,0,3,1
2559,17/03/2019,Atlanta United,Philadelphia Union,1,1,0,0
2560,17/03/2019,Toronto FC,New England Revolution,3,2,1,1
2561,18/03/2019,Colorado Rapids,Sporting Kansas City,1,1,0,0
2562,23/03/2019,FC Dallas,Colorado Rapids,2,1,1,1
2563,23/03/2019,New York Red Bulls,Orlando City,0,1,-1,-1
2564,23/03/2019,Philadelphia Union,Columbus Crew,3,0,3,1
2565,24/03/2019,Los Angeles FC,Real Salt Lake,2,1,1,1
2566,24/03/2019,New England Revolution,Cincinnati,0,2,-2,-1
2567,30/03/2019,Toronto FC,New York City,4,0,4,1
2568,30/03/2019,Chicago Fire,New York Red Bulls,1,0,1,1
2569,30/03/2019,New England Revolution,Minnesota United,2,1,1,1
2570,30/03/2019,Sporting Kansas City,Montreal Impact,7,1,6,1
2571,30/03/2019,San Jose Earthquakes,Los Angeles FC,0,5,-5,-1
2572,30/03/2019,Cincinnati,Philadelphia Union,0,2,-2,-1
2573,30/03/2019,Columbus Crew,Atlanta United,2,0,2,1
2574,31/03/2019,Colorado Rapids,Houston Dynamo,1,4,-3,-1
2575,31/03/2019,Real Salt Lake,FC Dallas,2,4,-2,-1
2576,31/03/2019,Vancouver Whitecaps,Seattle Sounders,0,0,0,0
2577,31/03/2019,Orlando City,DC United,1,2,-1,-1
2578,01/04/2019,Los Angeles Galaxy,Portland Timbers,2,1,1,1
2579,06/04/2019,Vancouver Whitecaps,Los Angeles Galaxy,0,2,-2,-1
2580,06/04/2019,New York City,Montreal Impact,0,0,0,0
2581,06/04/2019,DC United,Los Angeles FC,0,4,-4,-1
2582,06/04/2019,Toronto FC,Chicago Fire,2,2,0,0
2583,07/04/2019,New York Red Bulls,Minnesota United,1,2,-1,-1
2584,07/04/2019,Columbus Crew,New England Revolution,1,0,1,1
2585,07/04/2019,Orlando City,Colorado Rapids,4,3,1,1
2586,07/04/2019,Philadelphia Union,FC Dallas,2,1,1,1
2587,07/04/2019,San Jose Earthquakes,Portland Timbers,3,0,3,1
2588,07/04/2019,Seattle Sounders,Real Salt Lake,1,0,1,1
2589,07/04/2019,Cincinnati,Sporting Kansas City,1,1,0,0
2590,10/04/2019,DC United,Montreal Impact,0,0,0,0
2591,13/04/2019,Chicago Fire,Vancouver Whitecaps,1,1,0,0
2592,13/04/2019,Montreal Impact,Columbus Crew,1,0,1,1
2593,13/04/2019,Houston Dynamo,San Jose Earthquakes,2,1,1,1
2594,13/04/2019,Seattle Sounders,Toronto FC,3,2,1,1
2595,13/04/2019,Minnesota United,New York City,3,3,0,0
2596,14/04/2019,New England Revolution,Atlanta United,0,2,-2,-1
2597,14/04/2019,FC Dallas,Portland Timbers,2,1,1,1
2598,14/04/2019,Colorado Rapids,DC United,2,3,-1,-1
2599,14/04/2019,Real Salt Lake,Orlando City,2,1,1,1
2600,14/04/2019,Los Angeles FC,Cincinnati,2,0,2,1
2601,14/04/2019,Los Angeles Galaxy,Philadelphia Union,2,0,2,1
2602,15/04/2019,Sporting Kansas City,New York Red Bulls,2,2,0,0
2603,18/04/2019,Vancouver Whitecaps,Los Angeles FC,1,0,1,1
2604,20/04/2019,Cincinnati,Real Salt Lake,0,3,-3,-1
2605,20/04/2019,Toronto FC,Minnesota United,4,3,1,1
2606,20/04/2019,Los Angeles Galaxy,Houston Dynamo,2,1,1,1
2607,20/04/2019,Chicago Fire,Colorado Rapids,4,1,3,1
2608,20/04/2019,Philadelphia Union,Montreal Impact,3,0,3,1
2609,20/04/2019,Orlando City,Vancouver Whitecaps,1,0,1,1
2610,20/04/2019,Atlanta United,FC Dallas,1,2,-1,-1
2611,21/04/2019,Columbus Crew,Portland Timbers,1,3,-2,-1
2612,21/04/2019,New England Revolution,New York Red Bulls,1,0,1,1
2613,21/04/2019,San Jose Earthquakes,Sporting Kansas City,4,1,3,1
2614,21/04/2019,DC United,New York City,0,2,-2,-1
2615,22/04/2019,Los Angeles FC,Seattle Sounders,4,1,3,1
2616,25/04/2019,New York City,Chicago Fire,1,0,1,1
2617,25/04/2019,Columbus Crew,DC United,0,1,-1,-1
2618,25/04/2019,New England Revolution,Montreal Impact,0,3,-3,-1
2619,25/04/2019,Minnesota United,Los Angeles Galaxy,0,0,0,0
2620,25/04/2019,Seattle Sounders,San Jose Earthquakes,2,2,0,0
2621,27/04/2019,New York City,Orlando City,1,1,0,0
2622,27/04/2019,Toronto FC,Portland Timbers,1,2,-1,-1
2623,27/04/2019,FC Dallas,San Jose Earthquakes,0,0,0,0
2624,27/04/2019,Vancouver Whitecaps,Philadelphia Union,1,1,0,0
2625,27/04/2019,Atlanta United,Colorado Rapids,1,0,1,1
2626,28/04/2019,New York Red Bulls,Cincinnati,1,0,1,1
2627,28/04/2019,Houston Dynamo,Columbus Crew,2,0,2,1
2628,28/04/2019,Sporting Kansas City,New England Revolution,4,4,0,0
2629,28/04/2019,Montreal Impact,Chicago Fire,1,0,1,1
2630,28/04/2019,Minnesota United,DC United,1,0,1,1
2631,28/04/2019,Seattle Sounders,Los Angeles FC,1,1,0,0
2632,29/04/2019,Los Angeles Galaxy,Real Salt Lake,2,1,1,1
2633,02/05/2019,Philadelphia Union,Cincinnati,2,0,2,1
2634,04/05/2019,Colorado Rapids,Vancouver Whitecaps,2,3,-1,-1
2635,04/05/2019,New York Red Bulls,Los Angeles Galaxy,3,2,1,1
2636,04/05/2019,Houston Dynamo,FC Dallas,2,1,1,1
2637,04/05/2019,Orlando City,Toronto FC,0,2,-2,-1
2638,04/05/2019,Montreal Impact,New York City,0,2,-2,-1
2639,05/05/2019,Philadelphia Union,New England Revolution,6,1,5,1
2640,05/05/2019,DC United,Columbus Crew,3,1,2,1
2641,05/05/2019,Minnesota United,Seattle Sounders,1,1,0,0
2642,05/05/2019,Real Salt Lake,Portland Timbers,1,2,-1,-1
2643,05/05/2019,San Jose Earthquakes,Cincinnati,1,0,1,1
2644,05/05/2019,Los Angeles FC,Chicago Fire,0,0,0,0
2645,06/05/2019,Sporting Kansas City,Atlanta United,0,3,-3,-1
2646,09/05/2019,Atlanta United,Toronto FC,2,0,2,1
2647,09/05/2019,Columbus Crew,Los Angeles Galaxy,3,1,2,1
2648,09/05/2019,Chicago Fire,New England Revolution,5,0,5,1
2649,09/05/2019,New York Red Bulls,Montreal Impact,1,2,-1,-1
2650,11/05/2019,Vancouver Whitecaps,Portland Timbers,1,0,1,1
2651,11/05/2019,Cincinnati,Montreal Impact,2,1,1,1
2652,11/05/2019,FC Dallas,New York Red Bulls,1,3,-2,-1
2653,11/05/2019,Toronto FC,Philadelphia Union,1,2,-1,-1
2654,11/05/2019,Los Angeles Galaxy,New York City,0,2,-2,-1
2655,12/05/2019,Columbus Crew,Los Angeles FC,0,3,-3,-1
2656,12/05/2019,New England Revolution,San Jose Earthquakes,3,1,2,1
2657,12/05/2019,Chicago Fire,Minnesota United,2,0,2,1
2658,12/05/2019,Colorado Rapids,Real Salt Lake,2,3,-1,-1
2659,12/05/2019,Seattle Sounders,Houston Dynamo,1,0,1,1
2660,12/05/2019,Atlanta United,Orlando City,1,0,1,1
2661,13/05/2019,DC United,Sporting Kansas City,1,0,1,1
2662,16/05/2019,Toronto FC,DC United,0,0,0,0
2663,16/05/2019,Houston Dynamo,Portland Timbers,1,1,0,0
2664,16/05/2019,Vancouver Whitecaps,Atlanta United,0,1,-1,-1
2665,16/05/2019,Seattle Sounders,Orlando City,2,1,1,1
2666,17/05/2019,Los Angeles FC,FC Dallas,2,0,2,1
2667,18/05/2019,Montreal Impact,New England Revolution,0,0,0,0
2668,18/05/2019,Real Salt Lake,Toronto FC,3,0,3,1
2669,18/05/2019,San Jose Earthquakes,Chicago Fire,4,1,3,1
2670,19/05/2019,Philadelphia Union,Seattle Sounders,0,0,0,0
2671,19/05/2019,Minnesota United,Columbus Crew,1,0,1,1
2672,19/05/2019,Houston Dynamo,DC United,2,1,1,1
2673,19/05/2019,Sporting Kansas City,Vancouver Whitecaps,1,1,0,0
2674,19/05/2019,Orlando City,Cincinnati,5,1,4,1
2675,19/05/2019,New York Red Bulls,Atlanta United,1,0,1,1
2676,20/05/2019,FC Dallas,Los Angeles FC,1,1,0,0
2677,20/05/2019,Los Angeles Galaxy,Colorado Rapids,0,1,-1,-1
2678,23/05/2019,New York Red Bulls,Vancouver Whitecaps,2,2,0,0
2679,25/05/2019,Orlando City,Los Angeles Galaxy,0,1,-1,-1
2680,25/05/2019,Real Salt Lake,Atlanta United,2,1,1,1
2681,25/05/2019,Los Angeles FC,Montreal Impact,4,2,2,1
2682,25/05/2019,Chicago Fire,New York City,1,1,0,0
2683,26/05/2019,Vancouver Whitecaps,FC Dallas,2,1,1,1
2684,26/05/2019,Cincinnati,New York Red Bulls,0,2,-2,-1
2685,26/05/2019,New England Revolution,DC United,1,1,0,0
2686,26/05/2019,Philadelphia Union,Portland Timbers,1,3,-2,-1
2687,26/05/2019,Minnesota United,Houston Dynamo,1,0,1,1
2688,26/05/2019,Colorado Rapids,Columbus Crew,3,2,1,1
2689,26/05/2019,Sporting Kansas City,Seattle Sounders,3,2,1,1
2690,27/05/2019,Toronto FC,San Jose Earthquakes,1,2,-1,-1
2691,30/05/2019,Atlanta United,Minnesota United,3,0,3,1
2692,30/05/2019,Montreal Impact,Real Salt Lake,2,1,1,1
2693,30/05/2019,DC United,Chicago Fire,3,3,0,0
2694,30/05/2019,Philadelphia Union,Colorado Rapids,1,1,0,0
2695,30/05/2019,Sporting Kansas City,Los Angeles Galaxy,0,2,-2,-1
2696,01/06/2019,Vancouver Whitecaps,Toronto FC,1,1,0,0
2697,01/06/2019,Montreal Impact,Orlando City,0,3,-3,-1
2698,01/06/2019,Atlanta United,Chicago Fire,2,0,2,1
2699,02/06/2019,New York Red Bulls,Real Salt Lake,4,0,4,1
2700,02/06/2019,Columbus Crew,New York City,2,2,0,0
2701,02/06/2019,DC United,San Jose Earthquakes,1,1,0,0
2702,02/06/2019,FC Dallas,Seattle Sounders,2,1,1,1
2703,02/06/2019,Colorado Rapids,Cincinnati,3,1,2,1
