,Date,home,visitor,hgoal,vgoal,goaldiff,result
453,26/05/2013,Real Salt Lake,Chicago Fire,1,1,0,0
454,26/05/2013,Sporting Kansas City,Houston Dynamo,1,1,0,0
455,26/05/2013,New York Red Bulls,Columbus Crew,2,2,0,0
456,27/05/2013,Los Angeles Galaxy,Seattle Sounders,4,0,4,1
457,01/06/2013,Toronto FC,Philadelphia Union,1,1,0,0
458,02/06/2013,New York Red Bulls,Vancouver Whitecaps,1,2,-1,-1
459,02/06/2013,Columbus Crew,Houston Dynamo,1,1,0,0
460,02/06/2013,Sporting Kansas City,Montreal Impact,1,2,-1,-1
461,02/06/2013,Colorado Rapids,FC Dallas,2,2,0,0
462,02/06/2013,Real Salt Lake,San Jose Earthquakes,3,0,3,1
463,02/06/2013,Chivas USA,Seattle Sounders,0,2,-2,-1
464,02/06/2013,Los Angeles Galaxy,New England Revolution,0,5,-5,-1
465,02/06/2013,Chicago Fire,DC United,2,0,2,1
466,06/06/2013,Philadelphia Union,Columbus Crew,3,0,3,1
467,09/06/2013,New England Revolution,DC United,0,0,0,0
468,09/06/2013,Chicago Fire,Portland Timbers,2,2,0,0
469,09/06/2013,Real Salt Lake,Los Angeles Galaxy,3,1,2,1
470,09/06/2013,Seattle Sounders,Vancouver Whitecaps,3,2,1,1
471,15/06/2013,Portland Timbers,FC Dallas,1,0,1,1
472,16/06/2013,DC United,Toronto FC,1,2,-1,-1
473,16/06/2013,Columbus Crew,Montreal Impact,2,0,2,1
474,16/06/2013,Colorado Rapids,San Jose Earthquakes,1,2,-1,-1
475,16/06/2013,Vancouver Whitecaps,New England Revolution,4,3,1,1
476,20/06/2013,Montreal Impact,Houston Dynamo,2,0,2,1
477,20/06/2013,Chicago Fire,Colorado Rapids,2,1,1,1
478,20/06/2013,Vancouver Whitecaps,Chivas USA,3,1,2,1
479,20/06/2013,Los Angeles Galaxy,Portland Timbers,0,0,0,0
480,23/06/2013,DC United,San Jose Earthquakes,1,0,1,1
481,23/06/2013,Columbus Crew,Chicago Fire,1,2,-1,-1
482,23/06/2013,FC Dallas,Sporting Kansas City,2,2,0,0
483,23/06/2013,Houston Dynamo,Toronto FC,0,0,0,0
484,23/06/2013,Real Salt Lake,Seattle Sounders,2,0,2,1
485,23/06/2013,Philadelphia Union,New York Red Bulls,3,0,3,1
486,24/06/2013,Portland Timbers,Colorado Rapids,3,0,3,1
487,24/06/2013,Chivas USA,Los Angeles Galaxy,0,1,-1,-1
488,29/06/2013,Toronto FC,Real Salt Lake,0,1,-1,-1
489,29/06/2013,Philadelphia Union,FC Dallas,2,2,0,0
490,30/06/2013,DC United,Vancouver Whitecaps,0,1,-1,-1
491,30/06/2013,Montreal Impact,Colorado Rapids,3,4,-1,-1
492,30/06/2013,Sporting Kansas City,Columbus Crew,3,2,1,1
493,30/06/2013,Chivas USA,New England Revolution,1,1,0,0
494,30/06/2013,San Jose Earthquakes,Los Angeles Galaxy,3,2,1,1
495,30/06/2013,New York Red Bulls,Houston Dynamo,2,0,2,1
496,04/07/2013,Toronto FC,Montreal Impact,3,3,0,0
497,04/07/2013,Chicago Fire,San Jose Earthquakes,3,2,1,1
498,04/07/2013,Sporting Kansas City,Vancouver Whitecaps,1,1,0,0
499,04/07/2013,Real Salt Lake,Philadelphia Union,2,2,0,0
500,04/07/2013,Seattle Sounders,DC United,2,0,2,1
501,05/07/2013,FC Dallas,Chivas USA,0,0,0,0
502,05/07/2013,Colorado Rapids,New York Red Bulls,2,0,2,1
503,05/07/2013,Los Angeles Galaxy,Columbus Crew,2,1,1,1
504,07/07/2013,New England Revolution,San Jose Earthquakes,2,0,2,1
505,07/07/2013,Houston Dynamo,Philadelphia Union,1,0,1,1
506,07/07/2013,Vancouver Whitecaps,Seattle Sounders,2,0,2,1
507,07/07/2013,Chicago Fire,Sporting Kansas City,1,2,-1,-1
508,07/07/2013,Columbus Crew,Portland Timbers,1,0,1,1
509,08/07/2013,Montreal Impact,Chivas USA,1,1,0,0
510,08/07/2013,Colorado Rapids,DC United,0,0,0,0
511,08/07/2013,Los Angeles Galaxy,FC Dallas,2,0,2,1
512,13/07/2013,Philadelphia Union,Chivas USA,3,1,2,1
513,14/07/2013,New York Red Bulls,Montreal Impact,4,0,4,1
514,14/07/2013,New England Revolution,Houston Dynamo,1,2,-1,-1
515,14/07/2013,Sporting Kansas City,Toronto FC,3,0,3,1
516,14/07/2013,FC Dallas,Real Salt Lake,0,3,-3,-1
517,14/07/2013,San Jose Earthquakes,Seattle Sounders,1,0,1,1
518,14/07/2013,Portland Timbers,Los Angeles Galaxy,2,1,1,1
519,15/07/2013,Vancouver Whitecaps,Chicago Fire,3,1,2,1
520,18/07/2013,Colorado Rapids,New England Revolution,2,1,1,1
521,18/07/2013,Chivas USA,Toronto FC,1,0,1,1
522,20/07/2013,Seattle Sounders,Colorado Rapids,1,1,0,0
523,20/07/2013,Toronto FC,New York Red Bulls,0,0,0,0
524,21/07/2013,Montreal Impact,FC Dallas,0,0,0,0
525,21/07/2013,Columbus Crew,New England Revolution,0,2,-2,-1
526,21/07/2013,Philadelphia Union,Portland Timbers,0,0,0,0
527,21/07/2013,Chicago Fire,DC United,4,1,3,1
528,21/07/2013,Real Salt Lake,Sporting Kansas City,1,2,-1,-1
529,21/07/2013,Los Angeles Galaxy,Vancouver Whitecaps,2,1,1,1
530,27/07/2013,Toronto FC,Columbus Crew,2,1,1,1
531,28/07/2013,Colorado Rapids,Los Angeles Galaxy,2,0,2,1
532,28/07/2013,DC United,New England Revolution,1,2,-1,-1
533,28/07/2013,Montreal Impact,Sporting Kansas City,1,0,1,1
534,28/07/2013,New York Red Bulls,Real Salt Lake,4,3,1,1
535,28/07/2013,Vancouver Whitecaps,Philadelphia Union,0,1,-1,-1
536,28/07/2013,Houston Dynamo,Chicago Fire,1,1,0,0
537,28/07/2013,San Jose Earthquakes,Portland Timbers,2,1,1,1
538,29/07/2013,Seattle Sounders,Chivas USA,2,1,1,1
539,03/08/2013,Sporting Kansas City,New York Red Bulls,2,3,-1,-1
540,04/08/2013,DC United,Montreal Impact,3,1,2,1
541,04/08/2013,Philadelphia Union,Chicago Fire,1,2,-1,-1
542,04/08/2013,Colorado Rapids,Real Salt Lake,2,2,0,0
543,04/08/2013,Houston Dynamo,Columbus Crew,3,1,2,1
544,04/08/2013,San Jose Earthquakes,Chivas USA,2,0,2,1
545,04/08/2013,Seattle Sounders,FC Dallas,3,0,3,1
546,04/08/2013,Portland Timbers,Vancouver Whitecaps,1,1,0,0
547,05/08/2013,New England Revolution,Toronto FC,0,1,-1,-1
548,11/08/2013,Toronto FC,Seattle Sounders,1,2,-1,-1
549,11/08/2013,Columbus Crew,New York Red Bulls,2,0,2,1
550,11/08/2013,Vancouver Whitecaps,San Jose Earthquakes,2,0,2,1
551,11/08/2013,Philadelphia Union,DC United,2,0,2,1
552,11/08/2013,Chicago Fire,Montreal Impact,2,1,1,1
553,11/08/2013,Sporting Kansas City,New England Revolution,3,0,3,1
554,11/08/2013,Real Salt Lake,Houston Dynamo,1,0,1,1
555,12/08/2013,FC Dallas,Los Angeles Galaxy,3,3,0,0
556,12/08/2013,Chivas USA,Colorado Rapids,1,1,0,0
557,18/08/2013,Montreal Impact,DC United,2,1,1,1
558,18/08/2013,Columbus Crew,Toronto FC,2,0,2,1
559,18/08/2013,New England Revolution,Chicago Fire,2,0,2,1
560,18/08/2013,New York Red Bulls,Philadelphia Union,0,0,0,0
561,18/08/2013,Houston Dynamo,Seattle Sounders,3,1,2,1
562,18/08/2013,Colorado Rapids,Vancouver Whitecaps,2,0,2,1
563,18/08/2013,Los Angeles Galaxy,Real Salt Lake,4,2,2,1
564,18/08/2013,Portland Timbers,FC Dallas,2,1,1,1
565,19/08/2013,San Jose Earthquakes,Sporting Kansas City,1,0,1,1
566,22/08/2013,Chivas USA,FC Dallas,1,3,-2,-1
567,22/08/2013,Portland Timbers,Real Salt Lake,3,3,0,0
568,24/08/2013,Chicago Fire,Sporting Kansas City,1,0,1,1
569,25/08/2013,DC United,Toronto FC,1,1,0,0
570,25/08/2013,Montreal Impact,Houston Dynamo,5,0,5,1
571,25/08/2013,FC Dallas,San Jose Earthquakes,2,2,0,0
572,25/08/2013,Vancouver Whitecaps,Los Angeles Galaxy,0,1,-1,-1
573,25/08/2013,Real Salt Lake,Columbus Crew,4,0,4,1
574,25/08/2013,Chivas USA,New York Red Bulls,3,2,1,1
575,26/08/2013,New England Revolution,Philadelphia Union,5,1,4,1
576,26/08/2013,Seattle Sounders,Portland Timbers,1,0,1,1
577,31/08/2013,Toronto FC,New England Revolution,1,1,0,0
578,31/08/2013,Real Salt Lake,Portland Timbers,4,2,2,1
579,01/09/2013,Columbus Crew,Seattle Sounders,0,1,-1,-1
580,01/09/2013,Philadelphia Union,Montreal Impact,0,0,0,0
581,01/09/2013,New York Red Bulls,DC United,2,1,1,1
582,01/09/2013,Sporting Kansas City,Colorado Rapids,2,1,1,1
583,01/09/2013,Los Angeles Galaxy,San Jose Earthquakes,3,0,3,1
584,01/09/2013,Chicago Fire,Houston Dynamo,1,1,0,0
585,02/09/2013,Vancouver Whitecaps,Chivas USA,2,2,0,0
586,05/09/2013,Columbus Crew,Houston Dynamo,2,0,2,1
587,05/09/2013,Seattle Sounders,Chivas USA,1,0,1,1
588,08/09/2013,FC Dallas,Vancouver Whitecaps,3,1,2,1
589,08/09/2013,Sporting Kansas City,Columbus Crew,3,0,3,1
590,08/09/2013,Seattle Sounders,Chicago Fire,2,1,1,1
591,08/09/2013,Los Angeles Galaxy,Colorado Rapids,0,1,-1,-1
592,08/09/2013,Portland Timbers,Toronto FC,4,0,4,1
593,08/09/2013,Houston Dynamo,New York Red Bulls,1,4,-3,-1
594,09/09/2013,New England Revolution,Montreal Impact,2,4,-2,-1
595,09/09/2013,Chivas USA,DC United,1,0,1,1
596,09/09/2013,San Jose Earthquakes,Philadelphia Union,1,0,1,1
597,12/09/2013,Toronto FC,Chicago Fire,1,1,0,0
598,14/09/2013,Seattle Sounders,Real Salt Lake,2,0,2,1
599,14/09/2013,Montreal Impact,Columbus Crew,1,2,-1,-1
600,14/09/2013,DC United,Los Angeles Galaxy,2,2,0,0
601,15/09/2013,New York Red Bulls,Toronto FC,2,0,2,1
602,15/09/2013,Philadelphia Union,Houston Dynamo,0,1,-1,-1
603,15/09/2013,Chicago Fire,New England Revolution,3,2,1,1
604,15/09/2013,Colorado Rapids,FC Dallas,2,1,1,1
605,15/09/2013,Chivas USA,Portland Timbers,1,1,0,0
606,15/09/2013,San Jose Earthquakes,Vancouver Whitecaps,0,0,0,0
607,21/09/2013,Portland Timbers,Colorado Rapids,1,0,1,1
608,21/09/2013,Montreal Impact,Vancouver Whitecaps,0,3,-3,-1
609,21/09/2013,Toronto FC,Sporting Kansas City,1,2,-1,-1
610,22/09/2013,Columbus Crew,Chicago Fire,3,0,3,1
611,22/09/2013,New England Revolution,DC United,2,1,1,1
612,22/09/2013,Houston Dynamo,Chivas USA,5,1,4,1
613,22/09/2013,Real Salt Lake,San Jose Earthquakes,1,2,-1,-1
614,22/09/2013,Los Angeles Galaxy,Seattle Sounders,1,1,0,0
615,22/09/2013,New York Red Bulls,FC Dallas,1,0,1,1
616,28/09/2013,Sporting Kansas City,Philadelphia Union,0,1,-1,-1
617,28/09/2013,Toronto FC,DC United,4,1,3,1
618,29/09/2013,Vancouver Whitecaps,Real Salt Lake,0,1,-1,-1
619,29/09/2013,New England Revolution,Houston Dynamo,1,1,0,0
620,29/09/2013,Chicago Fire,Montreal Impact,2,2,0,0
621,29/09/2013,Portland Timbers,Los Angeles Galaxy,1,0,1,1
622,30/09/2013,FC Dallas,Columbus Crew,2,4,-2,-1
623,30/09/2013,Seattle Sounders,New York Red Bulls,1,1,0,0
624,30/09/2013,Chivas USA,San Jose Earthquakes,0,1,-1,-1
625,05/10/2013,DC United,Chicago Fire,0,3,-3,-1
626,05/10/2013,Houston Dynamo,Montreal Impact,1,0,1,1
627,06/10/2013,New York Red Bulls,New England Revolution,2,2,0,0
628,06/10/2013,Columbus Crew,Sporting Kansas City,0,1,-1,-1
629,06/10/2013,Philadelphia Union,Toronto FC,1,0,1,1
630,06/10/2013,Real Salt Lake,FC Dallas,1,1,0,0
631,06/10/2013,Colorado Rapids,Seattle Sounders,5,1,4,1
632,06/10/2013,Los Angeles Galaxy,Chivas USA,5,0,5,1
633,07/10/2013,Vancouver Whitecaps,Portland Timbers,2,2,0,0
634,10/10/2013,Houston Dynamo,Sporting Kansas City,0,0,0,0
635,10/10/2013,Seattle Sounders,Vancouver Whitecaps,1,4,-3,-1
636,10/10/2013,San Jose Earthquakes,Colorado Rapids,1,0,1,1
637,12/10/2013,Montreal Impact,New England Revolution,0,1,-1,-1
638,13/10/2013,DC United,Philadelphia Union,1,1,0,0
639,13/10/2013,FC Dallas,Chicago Fire,2,3,-1,-1
640,14/10/2013,Portland Timbers,Seattle Sounders,1,0,1,1
641,17/10/2013,Los Angeles Galaxy,Montreal Impact,1,0,1,1
642,19/10/2013,Sporting Kansas City,DC United,1,0,1,1
643,19/10/2013,Montreal Impact,Philadelphia Union,2,1,1,1
644,19/10/2013,FC Dallas,Seattle Sounders,2,0,2,1
645,19/10/2013,Colorado Rapids,Vancouver Whitecaps,3,2,1,1
646,20/10/2013,New England Revolution,Columbus Crew,3,2,1,1
647,20/10/2013,Chicago Fire,Toronto FC,1,0,1,1
648,20/10/2013,Portland Timbers,Real Salt Lake,0,0,0,0
649,20/10/2013,Houston Dynamo,New York Red Bulls,0,3,-3,-1
650,21/10/2013,Los Angeles Galaxy,San Jose Earthquakes,0,0,0,0
651,24/10/2013,Real Salt Lake,Chivas USA,2,1,1,1
652,26/10/2013,Philadelphia Union,Sporting Kansas City,1,2,-1,-1
653,26/10/2013,Toronto FC,Montreal Impact,1,0,1,1
654,26/10/2013,San Jose Earthquakes,FC Dallas,2,1,1,1
655,27/10/2013,Chivas USA,Portland Timbers,0,5,-5,-1
656,27/10/2013,DC United,Houston Dynamo,1,2,-1,-1
657,27/10/2013,Columbus Crew,New England Revolution,0,1,-1,-1
658,27/10/2013,New York Red Bulls,Chicago Fire,5,2,3,1
659,28/10/2013,Vancouver Whitecaps,Colorado Rapids,3,0,3,1
660,28/10/2013,Seattle Sounders,Los Angeles Galaxy,1,1,0,0
661,31/10/2013,Seattle Sounders,Colorado Rapids,2,0,2,1
662,01/11/2013,Houston Dynamo,Montreal Impact,3,0,3,1
663,03/11/2013,New England Revolution,Sporting Kansas City,2,1,1,1
664,03/11/2013,Seattle Sounders,Portland Timbers,1,2,-1,-1
665,03/11/2013,Houston Dynamo,New York Red Bulls,2,2,0,0
666,04/11/2013,Los Angeles Galaxy,Real Salt Lake,1,0,1,1
667,07/11/2013,New York Red Bulls,Houston Dynamo,1,1,0,0
668,07/11/2013,Sporting Kansas City,New England Revolution,2,1,1,1
669,08/11/2013,Real Salt Lake,Los Angeles Galaxy,1,0,1,1
670,08/11/2013,Portland Timbers,Seattle Sounders,3,2,1,1
671,09/11/2013,Houston Dynamo,Sporting Kansas City,0,0,0,0
672,11/11/2013,Real Salt Lake,Portland Timbers,4,2,2,1
673,24/11/2013,Sporting Kansas City,Houston Dynamo,2,1,1,1
674,25/11/2013,Portland Timbers,Real Salt Lake,0,1,-1,-1
675,07/12/2013,Sporting Kansas City,Real Salt Lake,1,1,0,0
676,08/03/2014,Seattle Sounders,Sporting Kansas City,1,0,1,1
677,09/03/2014,DC United,Columbus Crew,0,3,-3,-1
678,09/03/2014,Vancouver Whitecaps,New York Red Bulls,4,1,3,1
679,09/03/2014,FC Dallas,Montreal Impact,3,2,1,1
680,09/03/2014,Houston Dynamo,New England Revolution,4,0,4,1
681,09/03/2014,Los Angeles Galaxy,Real Salt Lake,0,1,-1,-1
682,09/03/2014,Portland Timbers,Philadelphia Union,1,1,0,0
683,09/03/2014,Chivas USA,Chicago Fire,3,2,1,1
684,15/03/2014,New York Red Bulls,Colorado Rapids,1,1,0,0
685,15/03/2014,Philadelphia Union,New England Revolution,1,0,1,1
686,15/03/2014,Seattle Sounders,Toronto FC,1,2,-1,-1
687,16/03/2014,Houston Dynamo,Montreal Impact,1,0,1,1
688,16/03/2014,Sporting Kansas City,FC Dallas,1,1,0,0
689,16/03/2014,San Jose Earthquakes,Real Salt Lake,3,3,0,0
690,16/03/2014,Portland Timbers,Chicago Fire,1,1,0,0
691,16/03/2014,Chivas USA,Vancouver Whitecaps,1,1,0,0
692,22/03/2014,New England Revolution,Vancouver Whitecaps,0,0,0,0
693,22/03/2014,Real Salt Lake,Los Angeles Galaxy,1,1,0,0
694,22/03/2014,Toronto FC,DC United,1,0,1,1
695,22/03/2014,Colorado Rapids,Portland Timbers,2,0,2,1
696,22/03/2014,Columbus Crew,Philadelphia Union,2,1,1,1
697,23/03/2014,FC Dallas,Chivas USA,3,1,2,1
698,23/03/2014,Sporting Kansas City,San Jose Earthquakes,1,0,1,1
699,23/03/2014,Chicago Fire,New York Red Bulls,1,1,0,0
700,23/03/2014,Montreal Impact,Seattle Sounders,0,2,-2,-1
701,29/03/2014,DC United,Chicago Fire,2,2,0,0
702,29/03/2014,Philadelphia Union,Montreal Impact,1,1,0,0
703,29/03/2014,Colorado Rapids,Sporting Kansas City,2,3,-1,-1
704,29/03/2014,Vancouver Whitecaps,Houston Dynamo,2,1,1,1
705,30/03/2014,FC Dallas,Portland Timbers,2,1,1,1
706,30/03/2014,Real Salt Lake,Toronto FC,3,0,3,1
707,30/03/2014,Seattle Sounders,Columbus Crew,1,2,-1,-1
708,30/03/2014,San Jose Earthquakes,New England Revolution,1,2,-1,-1
709,30/03/2014,New York Red Bulls,Chivas USA,1,1,0,0
710,05/04/2014,Portland Timbers,Seattle Sounders,4,4,0,0
711,05/04/2014,Montreal Impact,New York Red Bulls,2,2,0,0
712,05/04/2014,Chicago Fire,Philadelphia Union,2,2,0,0
713,05/04/2014,Columbus Crew,Toronto FC,0,2,-2,-1
714,05/04/2014,Vancouver Whitecaps,Colorado Rapids,1,2,-1,-1
715,06/04/2014,DC United,New England Revolution,2,0,2,1
716,06/04/2014,Houston Dynamo,FC Dallas,1,4,-3,-1
717,06/04/2014,Sporting Kansas City,Real Salt Lake,0,0,0,0
718,06/04/2014,Chivas USA,Los Angeles Galaxy,0,3,-3,-1
719,12/04/2014,Montreal Impact,Chicago Fire,1,1,0,0
720,12/04/2014,Philadelphia Union,Real Salt Lake,2,2,0,0
721,12/04/2014,Toronto FC,Colorado Rapids,0,1,-1,-1
722,12/04/2014,New England Revolution,Houston Dynamo,2,0,2,1
723,13/04/2014,DC United,New York Red Bulls,1,0,1,1
724,13/04/2014,FC Dallas,Seattle Sounders,2,3,-1,-1
725,13/04/2014,Los Angeles Galaxy,Vancouver Whitecaps,1,0,1,1
726,13/04/2014,Portland Timbers,Chivas USA,1,1,0,0
727,13/04/2014,San Jose Earthquakes,Columbus Crew,1,1,0,0
728,17/04/2014,New York Red Bulls,Philadelphia Union,2,1,1,1
729,19/04/2014,Chicago Fire,New England Revolution,1,1,0,0
730,19/04/2014,Philadelphia Union,Houston Dynamo,0,0,0,0
731,19/04/2014,Colorado Rapids,San Jose Earthquakes,0,0,0,0
732,20/04/2014,Vancouver Whitecaps,Los Angeles Galaxy,2,2,0,0
733,20/04/2014,Columbus Crew,DC United,1,1,0,0
734,20/04/2014,FC Dallas,Toronto FC,2,1,1,1
735,20/04/2014,Sporting Kansas City,Montreal Impact,4,0,4,1
736,20/04/2014,Real Salt Lake,Portland Timbers,1,0,1,1
737,20/04/2014,Chivas USA,Seattle Sounders,1,2,-1,-1
738,24/04/2014,New York Red Bulls,Houston Dynamo,4,0,4,1
739,26/04/2014,Montreal Impact,Philadelphia Union,1,0,1,1
740,26/04/2014,Seattle Sounders,Colorado Rapids,4,1,3,1
741,27/04/2014,DC United,FC Dallas,4,1,3,1
742,27/04/2014,Columbus Crew,New York Red Bulls,1,1,0,0
743,27/04/2014,New England Revolution,Sporting Kansas City,2,0,2,1
744,27/04/2014,Real Salt Lake,Vancouver Whitecaps,2,2,0,0
745,27/04/2014,San Jose Earthquakes,Chivas USA,1,0,1,1
746,27/04/2014,Houston Dynamo,Portland Timbers,1,1,0,0
747,03/05/2014,Toronto FC,New England Revolution,1,2,-1,-1
748,04/05/2014,Vancouver Whitecaps,San Jose Earthquakes,3,2,1,1
749,04/05/2014,Chicago Fire,Real Salt Lake,2,3,-1,-1
750,04/05/2014,Colorado Rapids,Los Angeles Galaxy,1,0,1,1
751,04/05/2014,Seattle Sounders,Philadelphia Union,2,1,1,1
752,04/05/2014,Chivas USA,Houston Dynamo,1,4,-3,-1
753,04/05/2014,Portland Timbers,DC United,3,2,1,1
754,04/05/2014,FC Dallas,New York Red Bulls,0,1,-1,-1
755,04/05/2014,Sporting Kansas City,Columbus Crew,2,0,2,1
756,08/05/2014,Houston Dynamo,Columbus Crew,1,0,1,1
757,08/05/2014,Seattle Sounders,FC Dallas,2,1,1,1
758,08/05/2014,San Jose Earthquakes,Colorado Rapids,0,0,0,0
759,10/05/2014,Montreal Impact,Sporting Kansas City,0,3,-3,-1
760,10/05/2014,Philadelphia Union,DC United,0,1,-1,-1
761,11/05/2014,New York Red Bulls,Chicago Fire,4,5,-1,-1
762,11/05/2014,Columbus Crew,Vancouver Whitecaps,0,1,-1,-1
763,11/05/2014,San Jose Earthquakes,FC Dallas,2,1,1,1
764,11/05/2014,Portland Timbers,Los Angeles Galaxy,1,1,0,0
765,11/05/2014,Colorado Rapids,Chivas USA,1,3,-2,-1
766,11/05/2014,New England Revolution,Seattle Sounders,5,0,5,1
767,12/05/2014,Houston Dynamo,Real Salt Lake,2,5,-3,-1
768,15/05/2014,Sporting Kansas City,Philadelphia Union,1,2,-1,-1
769,17/05/2014,Toronto FC,New York Red Bulls,2,0,2,1
770,18/05/2014,DC United,Montreal Impact,1,1,0,0
771,18/05/2014,Philadelphia Union,New England Revolution,3,5,-2,-1
772,18/05/2014,FC Dallas,Chivas USA,1,1,0,0
773,18/05/2014,Houston Dynamo,Los Angeles Galaxy,1,0,1,1
774,18/05/2014,Real Salt Lake,Colorado Rapids,2,1,1,1
775,18/05/2014,Seattle Sounders,San Jose Earthquakes,1,0,1,1
776,18/05/2014,Portland Timbers,Columbus Crew,3,3,0,0
777,18/05/2014,Chicago Fire,Sporting Kansas City,2,1,1,1
778,22/05/2014,DC United,Houston Dynamo,2,0,2,1
779,22/05/2014,Los Angeles Galaxy,FC Dallas,2,1,1,1
780,24/05/2014,Sporting Kansas City,Toronto FC,2,2,0,0
781,25/05/2014,New York Red Bulls,Portland Timbers,1,2,-1,-1
782,25/05/2014,Vancouver Whitecaps,Seattle Sounders,2,2,0,0
783,25/05/2014,Columbus Crew,Chicago Fire,2,0,2,1
784,25/05/2014,New England Revolution,DC United,2,1,1,1
785,25/05/2014,Colorado Rapids,Montreal Impact,4,1,3,1
786,25/05/2014,Real Salt Lake,FC Dallas,0,0,0,0
787,26/05/2014,Los Angeles Galaxy,Philadelphia Union,4,1,3,1
788,26/05/2014,San Jose Earthquakes,Houston Dynamo,3,0,3,1
789,28/05/2014,Sporting Kansas City,New York Red Bulls,1,1,0,0
790,29/05/2014,Chivas USA,Portland Timbers,0,2,-2,-1
791,31/05/2014,Seattle Sounders,Real Salt Lake,4,0,4,1
792,31/05/2014,Toronto FC,Columbus Crew,3,2,1,1
793,01/06/2014,DC United,Sporting Kansas City,1,0,1,1
794,01/06/2014,Montreal Impact,New England Revolution,2,0,2,1
795,01/06/2014,FC Dallas,San Jose Earthquakes,1,2,-1,-1
796,01/06/2014,Chivas USA,Philadelphia Union,0,3,-3,-1
797,01/06/2014,Chicago Fire,Los Angeles Galaxy,1,1,0,0
798,02/06/2014,Colorado Rapids,Houston Dynamo,3,0,3,1
799,02/06/2014,Portland Timbers,Vancouver Whitecaps,3,4,-1,-1
800,05/06/2014,Columbus Crew,Real Salt Lake,1,1,0,0
801,05/06/2014,Colorado Rapids,Chicago Fire,0,0,0,0
802,07/06/2014,Houston Dynamo,Sporting Kansas City,0,2,-2,-1
803,07/06/2014,Toronto FC,San Jose Earthquakes,1,0,1,1
804,07/06/2014,DC United,Columbus Crew,0,0,0,0
805,08/06/2014,Philadelphia Union,Vancouver Whitecaps,3,3,0,0
806,08/06/2014,Chicago Fire,Seattle Sounders,2,3,-1,-1
807,08/06/2014,FC Dallas,Colorado Rapids,3,2,1,1
808,08/06/2014,Real Salt Lake,Portland Timbers,1,3,-2,-1
809,08/06/2014,New England Revolution,New York Red Bulls,0,2,-2,-1
810,09/06/2014,Los Angeles Galaxy,Chivas USA,1,1,0,0
811,12/06/2014,Montreal Impact,DC United,2,4,-2,-1
812,12/06/2014,Portland Timbers,FC Dallas,2,2,0,0
813,26/06/2014,Vancouver Whitecaps,Montreal Impact,0,0,0,0
814,28/06/2014,New York Red Bulls,Toronto FC,2,2,0,0
815,28/06/2014,Portland Timbers,Sporting Kansas City,0,1,-1,-1
816,29/06/2014,DC United,Seattle Sounders,0,1,-1,-1
817,29/06/2014,New England Revolution,Philadelphia Union,1,3,-2,-1
818,29/06/2014,Colorado Rapids,Vancouver Whitecaps,2,0,2,1
819,29/06/2014,Chivas USA,Real Salt Lake,1,0,1,1
820,29/06/2014,San Jose Earthquakes,Los Angeles Galaxy,0,1,-1,-1
821,29/06/2014,Columbus Crew,FC Dallas,0,0,0,0
822,30/06/2014,Montreal Impact,Houston Dynamo,3,0,3,1
823,03/07/2014,Chicago Fire,Toronto FC,1,1,0,0
824,03/07/2014,San Jose Earthquakes,Chivas USA,0,1,-1,-1
825,05/07/2014,Houston Dynamo,New York Red Bulls,2,2,0,0
826,05/07/2014,FC Dallas,Philadelphia Union,2,1,1,1
827,05/07/2014,Colorado Rapids,Columbus Crew,1,1,0,0
828,05/07/2014,Real Salt Lake,New England Revolution,2,1,1,1
829,05/07/2014,Los Angeles Galaxy,Portland Timbers,2,2,0,0
830,06/07/2014,Toronto FC,DC United,1,2,-1,-1
831,06/07/2014,Vancouver Whitecaps,Seattle Sounders,1,0,1,1
832,06/07/2014,Chivas USA,Montreal Impact,1,0,1,1
833,06/07/2014,Sporting Kansas City,Chicago Fire,1,1,0,0
834,12/07/2014,San Jose Earthquakes,DC United,1,2,-1,-1
835,13/07/2014,New York Red Bulls,Columbus Crew,4,1,3,1
836,13/07/2014,Philadelphia Union,Colorado Rapids,3,3,0,0
837,13/07/2014,Toronto FC,Houston Dynamo,4,2,2,1
838,13/07/2014,Montreal Impact,Sporting Kansas City,1,2,-1,-1
839,13/07/2014,New England Revolution,Chicago Fire,0,1,-1,-1
840,13/07/2014,Vancouver Whitecaps,Chivas USA,1,3,-2,-1
841,13/07/2014,Los Angeles Galaxy,Real Salt Lake,1,0,1,1
842,14/07/2014,Seattle Sounders,Portland Timbers,2,0,2,1
843,17/07/2014,Philadelphia Union,New York Red Bulls,3,1,2,1
844,17/07/2014,Columbus Crew,Sporting Kansas City,1,2,-1,-1
845,17/07/2014,Toronto FC,Vancouver Whitecaps,1,1,0,0
846,17/07/2014,Los Angeles Galaxy,New England Revolution,5,1,4,1
847,19/07/2014,Portland Timbers,Colorado Rapids,2,1,1,1
848,19/07/2014,Sporting Kansas City,Los Angeles Galaxy,2,1,1,1
849,20/07/2014,New York Red Bulls,San Jose Earthquakes,1,1,0,0
850,20/07/2014,Columbus Crew,Montreal Impact,2,1,1,1
851,20/07/2014,Chicago Fire,Philadelphia Union,1,1,0,0
852,20/07/2014,FC Dallas,New England Revolution,2,0,2,1
853,20/07/2014,Houston Dynamo,Toronto FC,2,2,0,0
854,20/07/2014,Real Salt Lake,Vancouver Whitecaps,1,1,0,0
855,21/07/2014,DC United,Chivas USA,3,1,2,1
